id,наименование,price,brand,скидка,rating,вналичии,seller id,колличество отзывов,оценка
17334044,Точилка для ножей,169.0,FROLHOME,61,5,9,107347,0,
18338749,"Пластик для 3д ручки, стержни 3d-ручки, набор ABS 10 цветов",237.0,АЗБУКА ПОДАРКОВ,75,5,29,107347,0,
33260083,Терка для овощей острая овощерезка,201.0,TUOTOWN,66,5,3,107347,793,4.8
40719824,Диско шар новогодний фонарь,265.0,FROLHOME,55,5,10,107347,4171,4.7
190094016,Набор для барбекю подарок,947.0,TUOTOWN,36,5,44,107347,0,
98086664,Лопата туристическая складная саперная,872.0,TUOTOWN,74,5,10,107347,0,
98082444,Лопата туристическая складная саперная,715.0,TUOTOWN,69,5,15,107347,58,4.8
33267378,Шпатель кондитерский,237.0,TUOTOWN,61,5,3,107347,0,
33308477,Нож для пиццы и теста триммер резак,211.0,TUOTOWN,65,5,4,107347,0,
98082443,Лопата туристическая складная саперная,737.0,TUOTOWN,68,5,15,107347,58,4.8
25714440,Подарочный набор для барбекю,1244.0,TUOTOWN,75,5,46,107347,0,
98086665,Лопата туристическая складная саперная,848.0,TUOTOWN,74,5,10,107347,0,
190094328,Подарочный набор для барбекю,923.0,TUOTOWN,38,5,44,107347,0,
104780334,Кухонный нож универсальный карвинг серии BLANCHE,416.0,TUOTOWN,74,5,9,107347,0,
25711542,Подарочный набор для барбекю,1049.0,TUOTOWN,77,5,33,107347,0,
190094531,Подарочный набор для барбекю,979.0,TUOTOWN,36,5,38,107347,0,
105853540,Перочинный нож складной туристический,1128.0,TUOTOWN,72,5,3,107347,0,
81389903,Ложка для мороженого с выталкивателем,264.0,TUOTOWN,56,5,4,107347,0,
96052581,Кухонный шеф нож большой AGNES-SERIES,486.0,TUOTOWN,68,5,5,107347,1886,4.9
96052582,Кухонный нож разделочный слайсер AGNES-SERIES8,512.0,TUOTOWN,64,5,5,107347,1886,4.9
19648611,Точилка для ножей и ножниц ножеточка,511.0,TUOTOWN,55,5,18,107347,0,
20963495,Кухонный нож поварской шеф KIRITSUKE,963.0,QXF,77,5,10,107347,1886,4.9
27561446,Точилка для ножей Держатель угла заточки керамический,295.0,TUOTOWN,64,5,5,107347,306,4.5
33260082,Терка для овощей острая овощерезка,231.0,TUOTOWN,61,5,3,107347,793,4.8
25705519,Подарочный набор для барбекю,901.0,TUOTOWN,78,5,28,107347,0,
96052579,Кухонный нож универсальный AGNES-SERIES,390.0,TUOTOWN,53,5,5,107347,1886,4.9
96052580,Кухонный нож овощной AGNES-SERIES,369.0,TUOTOWN,56,5,5,107347,1886,4.9
31288873,Набор для барбекю подарок,936.0,TUOTOWN,78,5,28,107347,0,
27554083,Точилка для ножей водный камень точило,859.0,TUOTOWN,82,5,5,107347,0,
162043623,Кухонный нож топор накири AGNES-SERIES,549.0,TUOTOWN,22,5,5,107347,1886,4.9
